Ariyalur|Ariyalur|Alagiyamanavalam|Alagiyamanavalam|621715
Ariyalur|Ariyalur|Alanduraiyarkattalai|Alanduraiyarkattalai|621701
Ariyalur|Ariyalur|Ammenabath|Erthukaranpatti|621713
Ariyalur|Ariyalur|Andipattakkadu|Andipattakadu|621701
Ariyalur|Ariyalur|Annimangalam|Annimangalam|621851
Ariyalur|Ariyalur|Ariyalur|Hasthinapuram|621713
Ariyalur|Ariyalur|Arungal|Arungal|621707
Ariyalur|Ariyalur|Avansuthamalli|Ayansuthamalli|621707
Ariyalur|Ariyalur|Ayanathur|Kadugur|621705
Ariyalur|Ariyalur|Chinnapattakadu|Chinnapattakadu|621715
Ariyalur|Ariyalur|Edayathankudi|Edaiyathangudi|621707
Ariyalur|Ariyalur|Elakurichi|Elakkurichi|621715
Ariyalur|Ariyalur|Elandakudam|Elandaikudam|621851
Ariyalur|Ariyalur|Govindapuram|Manakkal|621713
Ariyalur|Ariyalur|Guruvadi|Kuruvadi|621715
Ariyalur|Ariyalur|Illuppaiyur|Eluppaiyur|621718
Ariyalur|Ariyalur|Kadugur|Venkatakrishnapuram|621705
Ariyalur|Ariyalur|Kallankurichi|Thamaraikulam|621705
Ariyalur|Ariyalur|Kamarasavalli|Kamarasavalli|621715
Ariyalur|Ariyalur|Kandiratheertham|Kandarathitham|621851
Ariyalur|Ariyalur|Karaiyavetti|Karaivetti|621715
Ariyalur|Ariyalur|Karuppilakattalai|Karupilakkattalai|621707
Ariyalur|Ariyalur|Karuppur|Melakaruppur|621707
Ariyalur|Ariyalur|Kavanur|Kavanur|621704
Ariyalur|Ariyalur|Kayarlabath|Kayarlabath|621704
Ariyalur|Ariyalur|Keelaiyur|Melapalur|621707
Ariyalur|Ariyalur|Keelakolathur|Keelakolathur|621715
Ariyalur|Ariyalur|Keezhakavattankurichi|Keelakavattankurichi|621715
Ariyalur|Ariyalur|Keezhapalur|Keelapalur|621707
Ariyalur|Ariyalur|Kovil Esanai|Kovilesanai|621851
Ariyalur|Ariyalur|Kovilur|Kovilur|621715
Ariyalur|Ariyalur|Kulamanickam|Pudukottai|621722
Ariyalur|Ariyalur|Mallur|Varanavasi|621704
Ariyalur|Ariyalur|Manjamedu|Manjamedu|621715
Ariyalur|Ariyalur|Melapalur|Melapalur|621707
Ariyalur|Ariyalur|Nagamangalam|Nagamangalam|621701
Ariyalur|Ariyalur|Oriyur|Pungankuzhi|621701
Ariyalur|Ariyalur|Ottakoil|Ottakovil|621705
Ariyalur|Ariyalur|Palinganatham|Palinganatham|621651
Ariyalur|Ariyalur|Papanacheri|Parpanacheri|621704
Ariyalur|Ariyalur|Periyanagalur|Periyanagalur|621704
Ariyalur|Ariyalur|Periyathirukonam|Periyathirukonam|621704
Ariyalur|Ariyalur|Poondi|Poondi|621653
Ariyalur|Ariyalur|Pottaveli|Pottaveli|621718
Ariyalur|Ariyalur|Pudupalayam|Pudupalayam|621704
Ariyalur|Ariyalur|Pungankuzhi|Pungankuzhi|621701
Ariyalur|Ariyalur|Rayampuram|Rayampuram|621714
Ariyalur|Ariyalur|Reddipalayam|Reddipalayam|621704
Ariyalur|Ariyalur|Sannavur|Sannavoor|621851
Ariyalur|Ariyalur|Sathamangalam|Sundakudi|621707
Ariyalur|Ariyalur|Sennivanam|Sennivanam|621718
Ariyalur|Ariyalur|Siruvalur|Subburayapuram|621704
Ariyalur|Ariyalur|Sullangudi|Sullangudi|621715
Ariyalur|Ariyalur|Thelur|Thelur|621704
Ariyalur|Ariyalur|Thirumanur|Thirumanur|621715
Ariyalur|Ariyalur|Thirumazhapadi|Thirumazhapadi|621851
Ariyalur|Ariyalur|Thuthur|Thoothur|652170
Ariyalur|Ariyalur|Vadugapalayam|Vadugapalayam|621715
Ariyalur|Ariyalur|Valajanagaram|Valajanagaram|621704
Ariyalur|Ariyalur|Varanavasi|Varanavasi|621704
Ariyalur|Ariyalur|Venganur|Venganoor|621851
Ariyalur|Ariyalur|Vetriyur|Vettriyur|621715
Ariyalur|Ariyalur|Vilangudi|Villangudi|621704
Ariyalur|Ariyalur|Vilupanankurichi|Vizhuppanankurichi|621715
Ariyalur|Sendurai|Adhanakurichi|Adhanakuruchi|621719
Ariyalur|Sendurai|Alathiyur|Alathiyur|621719
Ariyalur|Sendurai|Anandavadi|Anandhavadi|621718
Ariyalur|Sendurai|Asaveerankudikkadu|Asaveerankudikadu|621719
