Araria,Araria,Araria,Araria Basti,854311
Araria,Araria,Azamnagar,Kusiyar Gawon,854325
Araria,Araria,Azmatpur,Basantpur,854311
Araria,Araria,Bahgi,Pokharia,854333
Araria,Araria,Bairgachhi,Belwa,854311
Araria,Araria,Bangawan,Bangama,854311
Araria,Araria,Bansbari,Bansbari,854311
Araria,Araria,Barakamatchistipur,Haria,854311
Araria,Araria,Basantpur,Basantpur,854311
Araria,Araria,Baturbari,Baturbari,854311
Araria,Araria,Belbari,Araria Basti,854311
Araria,Araria,Belwa,Belwa,N/A
Araria,Araria,Bhagmohabbat,Hayatpur,N/A
Araria,Araria,Bhagpuraini,Kismat Khawaspur,854333
Araria,Araria,Bhagsadullah Gachh Kola,Madanpur West,N/A
Araria,Araria,Bishunpur,Kusiyar Gawon,854325
Araria,Araria,Bochi,Bochi,N/A
Araria,Araria,Chanderdai,Chandradei,854311
Araria,Araria,Chanrarni,Bochi,N/A
Araria,Araria,Chatar,Chatar,854311
Araria,Araria,Chikni,Chikani,854311
Araria,Araria,Dabhara Jagir,Sharanpur,854311
Araria,Araria,Dabhra,Sharanpur,N/A
Araria,Araria,Deoria,Paiktola,854312
Araria,Araria,Dhakia,Chikani,854311
Araria,Araria,Diari,Diyari,N/A
Araria,Araria,Domai,Gainrha,N/A
Araria,Araria,Farasat,Pokharia,854333
Araria,Araria,Gaigari,Gaiyari,N/A
Araria,Araria,Gainrha,Gainrha,N/A
Araria,Araria,Gamharia,Madanpur East,N/A
Araria,Araria,Gelhabari,Kismat Khawaspur,854333
Araria,Araria,Gharakhal,Chatar,854311
Araria,Araria,Haria,Haria,854311
Araria,Araria,Hasanpur,Hayatpur,N/A
Araria,Araria,Hyatpur,Hayatpur,N/A
Araria,Araria,Itahara,Hayatpur,N/A
Araria,Araria,Jamua,Jamua,854311
Araria,Araria,Jhamta,Jhamta,854311
Araria,Araria,Jitwarpur,Kismat Khawaspur,854333
Araria,Araria,Kamaldaha,Kamaldaha,N/A
Araria,Araria,Kasaila Gachh Garha Bhagkasail,Madanpur East,854311
Araria,Araria,Khamgara,Jamua,N/A
Araria,Araria,Kharhar,Rampur Mohanpur East,N/A
Araria,Araria,Kismat Jamua,Jamua,N/A
Araria,Araria,Kismat Khawaspur,Kismat Khawaspur,854333
