Ahmadabad|Barwala|Ankevaliya|Ankevaliya|382245
Ahmadabad|Barwala|Bela|Bela|382450
Ahmadabad|Barwala|Chachariya|Chachariya|382255
Ahmadabad|Barwala|Chokdi|Chokdi|382250
Ahmadabad|Barwala|Dhadhodar|Dhadhodar|382450
Ahmadabad|Barwala|Hebatpur|Hebatpur|382455
Ahmadabad|Barwala|Jharvaliya|Zarvaliya|382250
Ahmadabad|Barwala|Kapadiyali|Kapadiyali|382450
Ahmadabad|Barwala|Khadsaliya|Khadsaliya Bhimnath|N/A
Ahmadabad|Barwala|Khambhada|Khambhada|382450
Ahmadabad|Barwala|Khamidana|Khamidana|382450
Ahmadabad|Barwala|Kundal|Kundal|382450
Ahmadabad|Barwala|Nabhoi|Nabhoi|382250
Ahmadabad|Barwala|Navda|Nava Navda|382450
Ahmadabad|Barwala|Pipariya|Pipariya|382220
Ahmadabad|Barwala|Polarpur|Polarpur|382250
Ahmadabad|Barwala|Rampura|Rampura|382450
Ahmadabad|Barwala|Ranpari|Ranpari|382220
Ahmadabad|Barwala|Refda|Refda|382255
Ahmadabad|Barwala|Rojid|Rojid|382450
Ahmadabad|Barwala|Salangpur|Salangpur|382450
Ahmadabad|Barwala|Sangasar|Sangasar|382463
Ahmadabad|Barwala|Shahpur|Shahpur|382250
Ahmadabad|Barwala|Sodhi|Sodhi|382463
Ahmadabad|Barwala|Timbla|Timbala|382450
Ahmadabad|Barwala|Vadhela|Vadhela|382450
Ahmadabad|Barwala|Vahiya|Vahiya|382450
Ahmadabad|Bavla|Adroda|Adroda|382220
Ahmadabad|Bavla|Amipura|Amipura|382220
Ahmadabad|Bavla|Bagodara|Bagodara|382230
Ahmadabad|Bavla|Baldana|Baldana|382240
Ahmadabad|Bavla|Bhamsara|Bhamsara|382240
Ahmadabad|Bavla|Bhayla|Bhayla|382220
Ahmadabad|Bavla|Chhabasar|Chhabasar|382220
Ahmadabad|Bavla|Chiyada|Chiyada|382220
Ahmadabad|Bavla|Dahegamda|Dahegamda|382220
Ahmadabad|Bavla|Devadthal|Devadthal|382220
Ahmadabad|Bavla|Devdholera|Devdholera|382240
Ahmadabad|Bavla|Dhanwada|Dhanwada|382220
Ahmadabad|Bavla|Dhedhal|Dhedhal|382220
Ahmadabad|Bavla|Dhingda|Dhingda|382230
Ahmadabad|Bavla|Dumali|Dumali|382220
Ahmadabad|Bavla|Durgi|Durgi|382230
Ahmadabad|Bavla|Gangad|Gangad|382240
Ahmadabad|Bavla|Gundanapara|Gundanapara|382220
Ahmadabad|Bavla|Hasannagar|Hasannagar|382220
Ahmadabad|Bavla|Juval Rupavati|Juval Rupavati|382220
Ahmadabad|Bavla|Kaliveji|Kaliveji|382220
Ahmadabad|Bavla|Kalyangadh|Kalyangadh|382240
Ahmadabad|Bavla|Kanotar|Kanotar|382230
Ahmadabad|Bavla|Kavitha|Kavitha|382260
Ahmadabad|Bavla|Kavla|Kavla|382220
Ahmadabad|Bavla|Kerala|Kerala|382220
Ahmadabad|Bavla|Kesaradi|Kesrandi|382240
Ahmadabad|Bavla|Kochariya|Kochariya|382220
Ahmadabad|Bavla|Lagdana|Lagdana|382220
Ahmadabad|Bavla|Memar|Memar|382220
Ahmadabad|Bavla|Meni|Meni|382220
Ahmadabad|Bavla|Metal|Metal|382220
Ahmadabad|Bavla|Mithapur|Mithapur|382230
Ahmadabad|Bavla|Nanodara|Nanodara|382220
